21.5,29.6,19.3,22.7,37.5,15.,27.6,33.8,12.5,17.7,36.,14.8,25.1,17.3,16.2,33.2,30.4,18.4,17.3,18.6,37.2,39.7
36.4,10.5,18.6,14.1,27.9,32.7,12.7,37.2,38.3,34.3,11.6,39.2,23.2,38.2,18.4,36.9,16.8,33.8,14.,32.3,32.2,12.2
13.7,11.4,18.3,29.4,28.1,31.5,30.7,11.1,11.7,35.4,32.2,20.9,35.8,11.8,11.6,14.,15.6,17.4,22.5,23.5,35.,14.3
36.2,31.3,21.9,38.9,14.4,31.3,34.4,27.3,-99.9,13.6,30.8,17.2,35.6,37.5,33.9,35.2,20.5,25.,13.7,25.,32.8,34.7
31.4,17.7,39.2,20.6,25.5,28.7,26.6,28.8,21.1,26.3,26.,21.2,33.9,19.8,35.9,14.2,28.6,18.1,21.7,15.6,22.5,12.4
11.6,36.,30.2,32.9,35.7,25.9,33.8,32.3,10.5,24.,22.3,39.4,30.6,33.6,13.4,28.3,14.4,39.1,38.3,39.3,28.8,15.4
28.,34.4,30.8,28.2,37.,14.3,13.3,14.,13.6,20.7,17.4,39.2,15.8,20.3,38.,29.2,22.1,21.1,22.5,27.8,17.2,18.6
31.1,13.,30.4,39.6,11.8,37.1,10.2,21.6,35.2,27.7,23.1,20.3,12.5,38.8,36.,16.9,27.3,33.1,16.4,13.4,18.2,13.4
21.6,29.4,20.7,19.4,12.,18.3,34.8,29.9,12.5,31.6,13.2,35.,29.7,39.3,10.8,25.1,33.7,12.,31.3,34.,17.6,30.1
34.4,33.6,39.5,30.9,16.6,19.7,36.6,18.7,25.,18.6,11.9,13.2,21.3,37.5,28.8,15.3,37.2,37.,10.4,24.6,29.6,32.1
10.5,30.7,-99.9,33.7,24.3,13.8,24.8,18.7,10.,12.3,34.5,15.8,22.5,21.9,19.9,30.,12.7,19.7,10.3,10.1,36.2,19.1
24.2,13.4,35.5,15.2,19.8,25.8,13.6,34.1,31.9,11.8,19.4,21.4,31.5,25.,21.2,21.5,22.3,26.4,27.3,36.7,32.8,21.3
13.7,14.5,26.4,10.6,30.,36.2,29.3,19.4,28.6,16.,19.1,33.,38.9,13.5,38.1,-99.9,38.8,16.5,28.7,11.1,32.1,19.7
36.2,16.9,32.6,37.,25.,27.7,19.1,19.5,34.6,29.1,15.,30.3,34.5,31.1,36.8,12.4,31.2,31.6,21.8,13.5,39.2,12.7
15.9,23.1,10.3,38.8,21.6,26.,34.6,14.1,27.6,33.8,32.1,38.,10.1,21.9,34.5,31.6,39.6,26.1,13.4,30.,36.1,14.8
32.1,12.7,24.1,20.,23.6,29.6,37.1,37.,33.9,30.4,11.5,34.,12.6,11.9,34.3,21.4,32.3,14.1,11.3,20.3,28.7,14.3
22.2,12.8,36.4,16.,35.2,-99.9,12.9,29.9,23.7,25.3,32.1,38.5,26.2,31.8,15.2,10.2,31.6,15.4,37.1,26.4,31.4,30.7
23.7,34.9,28.8,24.3,14.6,34.8,10.1,31.3,18.3,37.,23.8,35.7,39.3,25.2,39.5,38.6,39.6,22.4,14.5,26.,15.3,25.3
25.2,37.2,23.2,35.,14.3,14.1,37.5,35.5,29.,37.3,20.7,29.2,18.1,15.1,23.2,35.1,26.,33.3,38.1,37.1,34.7,16.6
18.7,10.,28.9,36.6,11.,34.9,36.,26.3,27.3,36.8,15.3,10.8,26.4,20.1,28.4,26.8,23.8,34.1,28.7,28.5,17.,15.4
13.5,34.9,11.7,14.3,38.,25.,35.5,15.4,16.3,19.5,21.2,17.8,14.6,14.7,30.5,10.6,25.5,22.4,28.7,22.,24.8,32.7
16.5,21.8,33.8,36.3,26.6,14.,17.1,14.5,34.1,16.8,29.6,35.4,29.5,28.,16.8,28.5,15.7,33.6,12.6,22.6,32.7,34.4
35.6,14.3,13.4,14.9,36.7,19.1,37.6,22.1,13.2,37.8,26.9,27.6,12.6,22.8,27.1,14.4,10.1,38.1,11.7,27.3,17.4,18.4
35.1,27.5,16.6,37.2,35.8,11.6,34.9,38.6,22.9,30.7,33.,25.8,22.,14.,21.9,40.,30.4,14.,11.7,11.4,34.6,12.4
21.8,22.4,20.1,38.7,26.,22.2,16.8,30.8,30.3,25.1,39.4,23.7,25.1,21.7,38.5,34.3,10.,37.,-99.9,33.7,12.6,12.9
37.2,-99.9,15.9,39.4,39.7,33.5,39.,26.8,35.4,11.1,18.,23.8,21.5,21.8,20.,21.9,38.7,36.4,11.1,25.5,11.1,30.5
27.,16.3,35.5,12.1,15.7,22.3,25.,10.2,20.1,38.1,17.7,13.,36.7,29.2,17.2,36.6,12.5,33.4,38.7,25.7,39.7,29.9
28.1,27.,32.2,13.,26.9,40.,22.2,27.6,12.1,39.9,12.3,21.,14.9,15.1,22.1,38.1,13.,13.,17.7,30.1,36.5,36.2
31.5,30.8,17.8,15.9,35.5,19.7,-99.9,13.2,39.7,36.,13.1,23.9,25.2,33.4,30.9,26.1,36.,10.9,10.4,26.1,24.,31.4
27.8,33.3,37.3,29.7,12.,27.4,31.,21.1,18.1,11.9,15.4,32.4,14.9,29.9,16.5,21.5,22.9,28.9,20.2,25.8,37.2,23.8
16.6,32.8,24.5,31.8,15.9,21.1,23.2,21.,14.8,20.8,15.9,17.9,24.4,25.4,22.4,30.8,39.8,14.8,31.8,33.9,27.,33.2
31.1,26.2,37.1,38.4,34.7,13.2,13.7,25.7,34.5,26.,10.5,29.7,-99.9,21.3,19.5,13.3,12.7,27.1,28.9,38.1,14.8,19.7
22.2,18.2,13.,16.6,36.8,22.,16.4,10.4,37.1,18.6,16.,32.5,22.9,35.1,26.5,23.,20.1,27.,15.5,15.2,18.7,35.2
23.7,13.,18.3,37.7,38.2,20.5,18.1,25.3,24.2,36.3,21.3,31.7,32.3,28.4,16.3,23.4,25.4,22.2,12.8,25.4,21.8,17.3
27.,38.7,18.9,21.5,13.1,25.1,22.6,12.1,27.1,24.3,39.5,28.7,16.8,17.9,31.1,35.4,14.8,39.,18.5,31.3,29.8,20.3
13.4,11.,11.7,19.8,21.7,23.1,28.6,39.2,27.8,28.3,26.8,23.,16.7,24.9,38.8,16.9,32.9,30.6,13.3,25.6,38.2,15.8
34.4,34.7,16.9,13.1,28.7,12.4,38.,27.9,14.6,38.1,32.3,28.4,39.2,24.1,33.4,12.7,18.,22.9,34.6,21.,38.9,10.9
12.7,10.3,24.4,29.3,-99.9,28.9,22.8,29.,25.4,22.,22.5,26.,20.6,33.4,31.5,14.6,13.4,23.4,17.4,15.2,24.,19.3
17.,20.9,32.5,38.4,13.3,13.6,31.2,32.2,34.6,37.1,33.1,13.5,22.7,20.4,26.9,30.6,22.1,17.2,37.1,10.2,15.7,32.4
15.5,14.7,14.2,19.7,13.1,33.4,27.8,30.8,27.6,20.7,28.4,36.,23.1,20.9,31.9,31.3,31.1,12.2,25.4,25.4,21.2,36.8
16.9,13.4,11.6,39.3,17.5,17.3,18.,33.5,13.2,12.,16.7,33.9,12.8,38.5,20.7,29.5,10.5,11.3,16.,16.4,24.7,35.7
13.6,10.1,38.4,13.5,29.7,11.1,10.1,38.,18.2,31.6,16.6,21.3,13.1,22.7,32.4,16.9,39.9,16.4,10.4,19.7,31.7,19.3
11.8,35.8,31.7,39.,23.9,18.8,15.9,17.5,35.8,35.3,20.7,26.4,29.7,38.3,32.4,21.9,17.2,37.5,13.3,35.4,38.5,32.9
14.,15.4,33.8,12.2,21.2,17.1,14.2,33.4,39.7,27.1,16.6,38.2,38.9,31.3,24.1,31.9,18.7,25.1,28.2,17.2,21.1,10.7
30.4,21.6,33.1,34.5,38.7,38.6,28.7,33.,27.2,10.7,35.9,11.4,19.5,23.9,10.5,21.5,37.1,35.9,25.8,36.8,15.,29.2
17.1,17.5,25.1,32.,25.5,13.8,33.,13.5,39.3,27.3
